segment,company_type_role,company_name,location,industry,ceo_name,ceo_title,ceo_email,ceo_phone,general_email,business_phone,website,domain,other_key_people,linkedin_company,confidence,sources,notes
Chemicals (Rubber / Specialty),Manufacturer,Merchem Limited,"Grove Centre, Kalamassery, Kochi - 683109",Rubber chemicals / specialty chemicals,,,,04844089300,,04844089300,,,,,medium,Public plant address/phone directories (LookChem etc.),MD name/email not clearly verified on open web — follow up via plant switchboard
Chemicals (Water treatment / specialty),Manufacturer,Ecodew (Ecodew Pure Water Solutions Pvt Ltd),"Kochi / Aluva area, Kerala",Water treatment chemicals & solutions,Muhammed Nujoom,CEO / Co-Founder / Director,nujoom@ecodew.solutions,+919020661101,mail@ecodew.solutions,+919020661101,https://ecodew.solutions,ecodew.solutions,Akhil Johny (Co-Founder); Sumayya Rahim (Director),https://www.linkedin.com/company/ecodew,high,Prior Kochi enrichment + LinkedIn/Tofler,Overlap with earlier Kochi list — included as chemical manufacturer fit
Pharma,Manufacturer / Marketer (formulations),Akesiss Pharma Pvt. Ltd.,"Pathadipalam, Edappally, Kochi - 682024",Pharmaceutical formulations (branded generics),Ashok Kumar K (Ashok Kumar Kannampalam),Managing Director,info@akesissindia.com,04842544448,info@akesissindia.com,04842544448,https://akesiss.com,akesiss.com,Padmadas P; Sharath Kumar KK; Thomsan George (Directors – Sales & Marketing),,high,akesiss.com management + TheCompanyCheck,Founded ~2008/2009
Pharma,Pharmaceutical company (marketing / manufacturing partnership model),Rowez Life Sciences Private Limited,"Kochi, Kerala",Pharmaceuticals,Paily Baby P.X,Managing Director,,,,,https://rowezlifesciences.com,rowezlifesciences.com,,https://www.linkedin.com/company/rowez-life-sciences-private-limited,medium,LinkedIn MD + company website,Est. 2008; public email/phone not on homepage crawl — use site contact form / LinkedIn
Pharma,Pharmaceutical marketer / company,Ezole Pharmaceutical,"Kochi, Kerala",Pharmaceutical formulations marketing,,,,,,,https://ezolepharmaceutical.com,ezolepharmaceutical.com,,,low,Company website (presence confirmed); leadership contacts not public,Claims 100Cr+ business / 300+ staff — good target; needs MCA exact legal name follow-up
Pharma / Biotech reagents,Manufacturer / Services,GENESPEC Private Limited,"CSEZ Kakkanad / Elamakkara, Kochi",Genomics / sequencing / bioinformatics,Sajesh Puthenpurackal Krishnankutty,Director,info@genespec.com,+919744233433,info@genespec.com,+919744233433; +917907191205,https://genespec.com,genespec.com,Vijayakumar Arun (Director),,high,Prior enrichment + genespec.com/contacts + MCA directors,Included as life-science / bio manufacturer-service fit
Pharma / Biotech testing,Manufacturer / Lab services,Merit Biolabs (PVT Merit Biolabs),Kochi / Ernakulam,"Biotech testing, fermentation, life-science services",Dr. Achamma Thomas,CEO / Founder,meritbiolabs@gmail.com,+916238559920,meritbiolabs@gmail.com,+916238559920; 04842808384,https://pvtmeritbiolabs.com,pvtmeritbiolabs.com,,https://www.linkedin.com/company/pvt-merit-biolabs,high,Prior Kochi enrichment,
Biogas,Manufacturer + Installer,Hind Biogas,"Kalamassery Industrial Area, Kochi - 682022",Biogas plants (domestic / portable / industrial),,,,+917942539636,,+917942539636,,,,https://www.linkedin.com/company/hind-biogas,medium,IndiaMART Ernakulam listings + LinkedIn company,Also listed phones 73211190 / 84191920 on LinkedIn snippet — verify before outreach
Biogas,Manufacturer + Installer,Navajyothi Biogas,"Eloor, Kochi / Ernakulam - 683501",Biogas plants (villa / apartment / commercial),,Proprietorship (est. 2016),,,,,,,,,low,IndiaMART + TheCompanyCheck org profile (Eloor),Strong product fit; proprietor name/email behind IndiaMART login — enrich via call/GST
Chemicals / Peptides,Manufacturer,Biosix Peptides (India) Pvt. Ltd.,"KINFRA Hi-Tech Park, Kalamassery, Kochi",Peptides / chemical manufacturing,Mullassery Gopalakrishnan Joshy,Managing Director,kkrcca66@gmail.com,,kkrcca66@gmail.com,,,,Manakulangaraparambil Asharaff Sultan (Director),,medium,Prior Kochi enrichment / MCA aggregators,
